"page_id","audience","domain","company_id","platform_type","hq_region"
"2","worker","mindrift.ai","toloka","crowd_market","north"
"3","worker","mindrift.ai","toloka","crowd_market","north"
"4","worker","mindrift.ai","toloka","crowd_market","north"
"5","worker","mindrift.ai","toloka","crowd_market","north"
"6","worker","mindrift.ai","toloka","crowd_market","north"
"7","worker","mindrift.ai","toloka","crowd_market","north"
"8","worker","mindrift.ai","toloka","crowd_market","north"
"9","worker","mindrift.ai","toloka","crowd_market","north"
"10","worker","mindrift.ai","toloka","crowd_market","north"
"11","worker","mindrift.ai","toloka","crowd_market","north"
"12","worker","mindrift.ai","toloka","crowd_market","north"
"13","worker","mindrift.ai","toloka","crowd_market","north"
"14","worker","mindrift.ai","toloka","crowd_market","north"
"15","worker","mindrift.ai","toloka","crowd_market","north"
"16","worker","mindrift.ai","toloka","crowd_market","north"
"17","worker","mindrift.ai","toloka","crowd_market","north"
"18","worker","mindrift.ai","toloka","crowd_market","north"
"20","worker","mindrift.ai","toloka","crowd_market","north"
"21","worker","mindrift.ai","toloka","crowd_market","north"
"22","worker","mindrift.ai","toloka","crowd_market","north"
"25","worker","mindrift.ai","toloka","crowd_market","north"
"26","worker","mindrift.ai","toloka","crowd_market","north"
"27","worker","mindrift.ai","toloka","crowd_market","north"
"28","worker","mindrift.ai","toloka","crowd_market","north"
"29","worker","mindrift.ai","toloka","crowd_market","north"
"30","worker","mindrift.ai","toloka","crowd_market","north"
"31","worker","mindrift.ai","toloka","crowd_market","north"
"32","worker","mindrift.ai","toloka","crowd_market","north"
"33","worker","mindrift.ai","toloka","crowd_market","north"
"34","worker","mindrift.ai","toloka","crowd_market","north"
"35","worker","mindrift.ai","toloka","crowd_market","north"
"36","worker","mindrift.ai","toloka","crowd_market","north"
"37","worker","mindrift.ai","toloka","crowd_market","north"
"38","worker","mindrift.ai","toloka","crowd_market","north"
"39","worker","mindrift.ai","toloka","crowd_market","north"
"40","worker","mindrift.ai","toloka","crowd_market","north"
"41","worker","mindrift.ai","toloka","crowd_market","north"
"42","worker","mindrift.ai","toloka","crowd_market","north"
"43","worker","mindrift.ai","toloka","crowd_market","north"
"44","worker","mindrift.ai","toloka","crowd_market","north"
"45","worker","mindrift.ai","toloka","crowd_market","north"
"46","worker","mindrift.ai","toloka","crowd_market","north"
"47","worker","mindrift.ai","toloka","crowd_market","north"
"48","worker","mindrift.ai","toloka","crowd_market","north"
"49","worker","mindrift.ai","toloka","crowd_market","north"
"50","worker","mindrift.ai","toloka","crowd_market","north"
"51","worker","mindrift.ai","toloka","crowd_market","north"
"52","worker","mindrift.ai","toloka","crowd_market","north"
"53","worker","mindrift.ai","toloka","crowd_market","north"
"54","worker","mindrift.ai","toloka","crowd_market","north"
"55","worker","mindrift.ai","toloka","crowd_market","north"
"56","worker","mindrift.ai","toloka","crowd_market","north"
"57","worker","mindrift.ai","toloka","crowd_market","north"
"58","worker","mindrift.ai","toloka","crowd_market","north"
"59","worker","mindrift.ai","toloka","crowd_market","north"
"60","worker","mindrift.ai","toloka","crowd_market","north"
"61","worker","mindrift.ai","toloka","crowd_market","north"
"62","worker","mindrift.ai","toloka","crowd_market","north"
"63","worker","mindrift.ai","toloka","crowd_market","north"
"64","worker","mindrift.ai","toloka","crowd_market","north"
"65","worker","mindrift.ai","toloka","crowd_market","north"
"66","worker","mindrift.ai","toloka","crowd_market","north"
"67","worker","mindrift.ai","toloka","crowd_market","north"
"68","worker","mindrift.ai","toloka","crowd_market","north"
"69","worker","mindrift.ai","toloka","crowd_market","north"
"70","worker","mindrift.ai","toloka","crowd_market","north"
"71","worker","mindrift.ai","toloka","crowd_market","north"
"72","worker","mindrift.ai","toloka","crowd_market","north"
"73","worker","mindrift.ai","toloka","crowd_market","north"
"74","worker","mindrift.ai","toloka","crowd_market","north"
"76","worker","mindrift.ai","toloka","crowd_market","north"
"77","worker","mindrift.ai","toloka","crowd_market","north"
"78","worker","mindrift.ai","toloka","crowd_market","north"
"79","worker","mindrift.ai","toloka","crowd_market","north"
"80","worker","mindrift.ai","toloka","crowd_market","north"
"81","worker","mindrift.ai","toloka","crowd_market","north"
"82","worker","mindrift.ai","toloka","crowd_market","north"
"83","worker","mindrift.ai","toloka","crowd_market","north"
